,Name,Lat_Restaurant,Lng_Restaurant,Address,Zip,Rating,# of Reviews,Price Level,Category,Yelp ID,City,County
761,Mr. Pickle's Sandwich Shop,38.54087999,-121.7238942,2191 Cowell Blvd,95618,4,108,$,Sandwiches,h2lyOO6bi5Ii4Q5mYmbCLA,Davis,Yolo County
762,Taos Cafe,38.539751,-121.7507163,1 Shields Ave,95616,5,1,unavailable,Food Stands,CLjyTYe0InpYlrRFmk0n8w,Davis,Yolo County
763,The Red Chicken,38.539751,-121.7507163,1 Shields Ave,95616,3,3,unavailable,Food Trucks,ZbOjafFOgWfxnzCtj2Z3VQ,Davis,Yolo County
764,Mandalay Express,38.539751,-121.7507163,1 Shields Ave,95616,4,1,unavailable,Vietnamese,Q-xi4tE6xAynn9WR-t4_2w,Davis,Yolo County
765,Tercero Dining Common,38.536405,-121.75889,La Rue Rd Dairy Rd,95616,3.5,16,$$,Cafeteria,_wjkxTLOHmrQn9HB_4yzZA,Davis,Yolo County
766,Silo,38.53880901,-121.7532027,Unversity Of California,95616,3,34,$,Fast Food,GH7uWD_uuaFcGUVh7EQMxA,Davis,Yolo County
767,Carl's Jr,38.5404091,-121.7309418,1701 Cowell Blvd,95618,2.5,24,$,Fast Food,BSvAYxLB_X6F4Cw8AH-8ZQ,Davis,Yolo County
768,TxMx Grill,38.54058556,-121.7479764,1 Shields Ave,95616,3.5,4,$,Food Court,Ts1LdZn-rYDateW8mQWu0A,Davis,Yolo County
769,Swirlz Cafe,38.539751,-121.7507163,1 Shields Ave,95616,4,1,unavailable,Bakeries,4oK5kkzsDbNPmjemr8heOQ,Davis,Yolo County
770,Coho South Cafe,38.53930805,-121.7516741,397 Hutchinson Dr,95616,3,20,$$,Coffee & Tea,WmddckMrJnulusgPrm6CgQ,Davis,Yolo County
771,ASUCD Coffee House Coho,38.54214072,-121.749691,1 Shields Ave,95616,3.5,170,$,Coffee & Tea,TraRlAy5trsa331IlfxreA,Davis,Yolo County
772,BioBrew by CoHo,38.5407639,-121.7479916,1 Shields Ave,95616,5,1,unavailable,Cafes,_SSxT_FsWEADF4Z793Satw,Davis,Yolo County
773,Scrubs Cafe,38.532133,-121.761933,976 Garrod Dr,95616,3,30,$,Coffee & Tea,t2slfCLuJ3Y3VLWaEcTz5w,Davis,Yolo County
774,Croutons,38.539751,-121.7507163,1 Shields Ave,95616,3,4,$,Salad,LZxj7oQ99IEQ2oxIxDcm2g,Davis,Yolo County
775,West Sac Sports Bar and Grill,38.53646633,-121.5528799,3340 Jefferson Blvd,95691,4.5,30,$,Sports Bars,nOn17CDzCzYRL_fV-yRVDA,West Sacramento,Yolo County
776,Lenise's Cafe,38.54029528,-121.549282,3150 Jefferson Blvd,95691,4,150,$,Cafes,tS8bEf66Zlg3k25Wmsm2Tg,West Sacramento,Yolo County
777,Banzai Sushi,38.510128,-121.541795,6409 Riverside Blvd,95831,4,375,$$,Sushi Bars,MvG4_smGRFHKdsbna0soaw,Sacramento ,Sacramento County
778,Edokko II,38.508231,-121.5429231,358 Florin Rd,95831,3.5,182,$$,Japanese,FO4jh4Z7SwOPfQ5Frxy3yw,Sacramento ,Sacramento County
779,Scott's Seafood Grill and Bar,38.534362,-121.518102,4800 Riverside Blvd,95822,3.5,962,$$$,Seafood,poc-gzcNWpd6dfthGkgxeQ,Sacramento ,Sacramento County
780,New China Restaurant,38.51075,-121.5407,6363 Riverside Blvd,95831,4,201,$$,Chinese,US-lZaah4Qoa1qNKKBPt6w,Sacramento ,Sacramento County
781,Chopsticks Express,38.510825,-121.541,6381 Riverside Blvd,95831,3.5,117,$,Chinese,6AFQVILdspUlA62J67kCLQ,Sacramento ,Sacramento County
782,Round Table Pizza,38.50729,-121.540893,398 Florin Rd,95831,2.5,101,$$,Pizza,EvS_iSKso99aTmfEZ-z9HQ,Sacramento ,Sacramento County
783,Taco Bell,38.505764,-121.539581,356 Florin Rd,95831,3,49,$,Mexican,PUatTlA9MqzrcRQexGsYvw,Sacramento ,Sacramento County
784,Baked on the River,38.49629,-123.00646,17071 Highway 116,95446,4.5,26,unavailable,Bakeries,AsxFNhSVFWh453DEnf6fTQ,Guerneville,Sonoma County
785,Noodle Rice Etc,38.49529266,-123.0075607,17121 Hwy 116,95446,4.5,80,$$,Chinese,aY9HBWqlpf9TwL7ulTTO1Q,Guerneville,Sonoma County
786,Garden Grill,38.49592177,-123.0076718,17132 Hwy 116,95446,4,402,$$,American (New),6TkCu4VJToQSMhKFtnMWyQ,Guerneville,Sonoma County
787,Village Inn & Restaurant,38.4673469,-123.007252,20822 River Blvd,95462,3.5,128,$$$,Hotels,O-15hIqdajkuRL1ocj_ADA,Monte Rio,Sonoma County
788,Bia Cafe,38.47753047,-122.9976527,19420 Hwy 116,95462,4.5,59,$,Cafes,lA8GnK9DRulBghCAq-9Q_w,Monte Rio,Sonoma County
789,Lucy's Lounge and Grill,38.46828592,-123.0107518,20391 Hwy 116,95462,4,35,$$,American (Traditional),AiFIKOj04sjIVZi8uE269g,Monte Rio,Sonoma County
790,Lightwave Coffee and Kitchen,38.46072,-123.01133,9725 Main St,95462,5,19,unavailable,Coffee & Tea,qiQJzZ2CkNrQ75i1zcvMsA,Monte Rio,Sonoma County
791,Rio Cafe Take 2,38.46741867,-123.0104065,20396 Bohemian Hwy,95462,4,51,$$,Breakfast & Brunch,LYOTq7qo-psOsOZ2VAvpUg,Monte Rio,Sonoma County
792,Northwood Restaurant,38.47775316,-122.9969382,19400 Hwy 116,95462,3.5,129,$$,Breakfast & Brunch,PETXyCcC7wXHrvBTGtz4yA,Monte Rio,Sonoma County
793,Backyard,38.47347,-122.89198,6566 Front St,95436,4,402,$$,American (New),Le1elbXKs_1OkU_LuGuBwA,Forestville,Sonoma County
794,Canneti Roadhouse Italiana,38.47370699,-122.893228,6675 Front St,95436,4,207,$$$,Italian,s7hbcI_Nd7o3YZcM6u5IaA,Forestville,Sonoma County
795,Farmhouse Inn Restaurant,38.490312,-122.883546,7871 River Rd,95436,4,277,$$$$,American (New),zYLiYO_FpolNbqippDu8QA,Forestville,Sonoma County
796,Twist Eatery,38.4732716,-122.890782,6536 Front St,95436,4.5,87,$$,American (New),NsfTGwpxSLonibvKXDYAVQ,Forestville,Sonoma County
797,Tiny Town Cafe,38.473452,-122.8910947,6544 Front St,95436,4.5,62,$,American (Traditional),sloN8R1QbeHWat4-5SMjUA,Forestville,Sonoma County
798,La Rosa Market and Taqueria,38.4737649,-122.8913223,6555 Front St,95436,3.5,81,$,Mexican,O9dezGRh3CitYndP6HCvgw,Forestville,Sonoma County
799,Forestville Pizza,38.474149,-122.896204,6490 Mirabel Rd,95436,3.5,93,$$,Pizza,uyHyhBg6i0HexwBOH-tC_g,Forestville,Sonoma County
800,Tahoe Chinese Restaurant,38.47334723,-122.894783,6484 Mirabel Rd,95436,3,57,$$,Chinese,BdJ9J7ciYfx1ijYbf1Q-yA,Forestville,Sonoma County
801,Carr's Drive In,38.47392,-122.8898,6533 Covey Rd,95436,3.5,47,$,Fast Food,lfJXroSm7jHuUvqN064MHg,Forestville,Sonoma County
927,Auberge du Soleil Restaurant,38.4937758,-122.406468,180 Rutherford Hill Road,94573,4.5,763,$$$$,American (New),t6i0yl0NUjWk-aCM9xvfAw,Rutherford,Napa County
928,Rutherford Grill,38.46004107,-122.4225426,1180 Rutherford Rd,94573,4,2188,$$,American (Traditional),Jo6ysQjXw7Xebtm94CHxrw,Rutherford,Napa County
930,La Luna Market & Taqueria,38.4595,-122.42107,1153 Rutherford Rd,94573,4.5,230,$,Mexican,rRVXwNuYeGZKjsexl7FYlw,Rutherford,Napa County
957,Cacio,38.481501,-121.517728,7600 Greenhaven Dr,95831,4.5,127,$$,Italian,EBY-FJmVcf88x9ZpVKC9HA,Sacramento ,Sacramento County
958,Ramen House Tenjin,38.48568074,-121.5346725,7485 Rush River Dr,95831,4.5,149,$$,Ramen,d6f156R6VgcK0qkYYnQbVg,Sacramento ,Sacramento County
959,Hop Junction,38.481481,-121.517847,7600 Greenhaven Dr,95831,4.5,67,$$,Pubs,tHbuVRrrJt6FV28onn2QRg,Sacramento ,Sacramento County
