,Name,Category,Biz City,Biz Zip,Biz Lat,Biz Lng,Rating,Review Count,Price,Yelp ID,County
154,Bravas,"['Spanish', 'Tapas Bars', 'Tapas/Small Plates']",Healdsburg,95448.0,38.6129,-122.86972,4.0,825,$$,jaX7ZGvnZyLQ-geFtTCcIw,Sonoma
155,Guiso Latin Fusion,"['Latin American', 'Caribbean']",Healdsburg,95448.0,38.612175108329296,-122.870353402698,5.0,242,$$,koNsWVTzEbJwNH14fD_iWA,Sonoma
156,Campo Fina,"['Italian', 'Tapas/Small Plates']",Healdsburg,95448.0,38.61163,-122.87036,4.0,454,$$,1h4jRE-ZbEwf5lKs2OeIRA,Sonoma
158,Barndiva,['American (New)'],Healdsburg,95448.0,38.6096038818359,-122.869529724121,4.0,772,$$$,J-L3eAwagbxVkzPkDBMpog,Sonoma
159,Willi's Seafood & Raw Bar,"['Seafood', 'Bars', 'Tapas/Small Plates']",Healdsburg,95448.0,38.6120736,-122.87121,4.0,1173,$$$,tbWui-WrCQs0Yw5CJShtJQ,Sonoma
160,Valette Restaurant,"['American (New)', 'Desserts', 'Steakhouses']",Healdsburg,95448.0,38.61205,-122.86951,4.5,348,$$$,PqsxJdUmNWxZyh9BLV6Jew,Sonoma
161,The Brass Rabbit,"['American (New)', 'Cocktail Bars']",Healdsburg,95448.0,38.61137,-122.87018,4.5,106,$$$,XRKoiF7uJR725alkQ0OTIA,Sonoma
162,Barrels Brews & Bites,"['Tapas/Small Plates', 'Coffee & Tea', 'Bars']",Healdsburg,95448.0,38.611183000000004,-122.870981,4.5,75,$$,7eu0hBSadLFsPKEOvK-_zA,Sonoma
163,SingleThread Farm - Restaurant- Inn,"['American (New)', 'Bed & Breakfast']",Healdsburg,95448.0,38.6124,-122.8699,4.5,168,$$$$,Afed6Mayiia8QoiP9cAIUw,Sonoma
164,KINSmoke,"['Barbeque', 'American (Traditional)', 'Bars']",Healdsburg,95448.0,38.6108,-122.86908999999999,4.0,390,$$,EIKjGLbbXstxUVBcLnLfeA,Sonoma
166,The Parish Cafe,"['Cajun/Creole', 'Breakfast & Brunch', 'Seafood']",Healdsburg,95448.0,38.60717010498049,-122.87033843994101,4.0,494,$$,HNWlZ2e0RDaV5i2i8X2c8Q,Sonoma
167,El Farolito,['Mexican'],Healdsburg,95448.0,38.61116,-122.86916000000001,4.0,228,$$,dfQ670Aoi-7DGJJUQJv2SA,Sonoma
